faiss_index,corpus_row_index,chunk_id,doc_id
0,0,doc_00000_1ceb318e_chunk_0,doc_00000_1ceb318e
1,1,doc_00001_66c1acd8_chunk_0,doc_00001_66c1acd8
2,2,doc_00002_50f4dcb0_chunk_0,doc_00002_50f4dcb0
3,3,doc_00003_829e480b_chunk_0,doc_00003_829e480b
4,4,doc_00004_b65111b4_chunk_0,doc_00004_b65111b4
5,5,doc_00005_f2061f5c_chunk_0,doc_00005_f2061f5c
6,6,doc_00006_bd9b2f5b_chunk_0,doc_00006_bd9b2f5b
7,7,doc_00007_3bd66e6e_chunk_0,doc_00007_3bd66e6e
8,8,doc_00008_342fe237_chunk_0,doc_00008_342fe237
9,9,doc_00009_50539d57_chunk_0,doc_00009_50539d57
10,10,doc_00010_a0d6cb51_chunk_0,doc_00010_a0d6cb51
11,11,doc_00011_75a54737_chunk_0,doc_00011_75a54737
12,12,doc_00012_d182de32_chunk_0,doc_00012_d182de32
13,13,doc_00013_74960b1d_chunk_0,doc_00013_74960b1d
14,14,doc_00014_edb0a0a9_chunk_0,doc_00014_edb0a0a9
15,15,doc_00015_66356134_chunk_0,doc_00015_66356134
16,16,doc_00016_db2860a7_chunk_0,doc_00016_db2860a7
17,17,doc_00017_666d9ce7_chunk_0,doc_00017_666d9ce7
18,18,doc_00018_697b6e53_chunk_0,doc_00018_697b6e53
19,19,doc_00019_7b3c755e_chunk_0,doc_00019_7b3c755e
20,20,doc_00020_5396d7da_chunk_0,doc_00020_5396d7da
21,21,doc_00021_2eec36cc_chunk_0,doc_00021_2eec36cc
22,22,doc_00022_7538bb53_chunk_0,doc_00022_7538bb53
23,23,doc_00023_5b9ecd4f_chunk_0,doc_00023_5b9ecd4f
24,24,doc_00024_147edfd5_chunk_0,doc_00024_147edfd5
25,25,doc_00025_1bd711b2_chunk_0,doc_00025_1bd711b2
26,26,doc_00026_b1d21a79_chunk_0,doc_00026_b1d21a79
27,27,doc_00027_94e8b617_chunk_0,doc_00027_94e8b617
28,28,doc_00028_5a5ad473_chunk_0,doc_00028_5a5ad473
29,29,doc_00029_4973bfbe_chunk_0,doc_00029_4973bfbe
30,30,doc_00030_6a320df2_chunk_0,doc_00030_6a320df2
31,31,doc_00031_f841e8ca_chunk_0,doc_00031_f841e8ca
32,32,doc_00032_583c6c4a_chunk_0,doc_00032_583c6c4a
33,33,doc_00033_3e32ddc2_chunk_0,doc_00033_3e32ddc2
34,34,doc_00034_db702baa_chunk_0,doc_00034_db702baa
35,35,doc_00035_bcafce7e_chunk_0,doc_00035_bcafce7e
36,36,doc_00036_d50596bf_chunk_0,doc_00036_d50596bf
